model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Toyota Agya,2020,136000000,Manual,24089,Petrol/Gasoline/Bensin,1725250,20.0,1.0,Kecil
Toyota Agya,2017,200000000,Manual,19400,Petrol/Gasoline/Bensin,1200000,22.0,1.2,Kecil
Daihatsu Ayla,2014,117000000,Manual,68000,Petrol/Gasoline/Bensin,1000000,22.0,1.0,Kecil
Mitsubishi Mirage,2012,173000000,Automatic,150000,Petrol/Gasoline/Bensin,2400000,20.0,1.2,Kecil
Toyota Avanza G,2010,180000000,Manual,20810,Petrol/Gasoline/Bensin,200000,26.0,1.6,Kecil
Toyota Inova,2012,200000000,Manual,12000,Petrol/Gasoline/Bensin,1300000,29.5,2.3,Medium
BMW 3X13,2023,125000000,Semi-Auto,25000,Petrol/Gasoline/Bensin,500000,23.0,1.3,Kecil
Daihatsu Gran Max,2018,200000000,Manual,149000,Petrol/Gasoline/Bensin,3000000,22.0,1.5,Kecil
Daihatsu Xenia ,2017,130000000,Manual,227000,Petrol/Gasoline/Bensin,1500000,25.0,1.3,Kecil
Mitsubishi Colt T120 SS,2018,109000000,Manual,280000,Petrol/Gasoline/Bensin,1563000,22.0,1.5,Kecil
Toyota Avanza ,2012,105000000,Manual,28000,Petrol/Gasoline/Bensin,3500000,25.0,1.5,Kecil
Toyota Avanza,2012,105000000,Manual,109000,Petrol/Gasoline/Bensin,2989000,23.0,1.3,Kecil
Toyota Avanza,2014,157000000,Manual,120000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Honda Brio,2018,128000000,Manual,85700,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Honda Brio E,2016,129000000,Semi-Auto,75438,Petrol/Gasoline/Bensin,2000000,25.0,1.3,Kecil
Toyota Avanza,2012,105000000,Manual,10000,Petrol/Gasoline/Bensin,3500000,23.0,1.3,Kecil
Suzuki Ertiga GL DOUBLE BLOWER,2013,156000000,Manual,180000,Petrol/Gasoline/Bensin,3880000,24.0,1.4,Kecil
Daihatsu Ayla,2016,87000000,Manual,10000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Suzuki Ertiga GL ,2012,108000000,Manual,60000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Toyota Kijang Innova,2015,177000000,Manual,66781,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Suzuki Ertiga GL,2019,164000000,Manual,50000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Honda Jazz,2013,125000000,Manual,120000,Petrol/Gasoline/Bensin,2000000,22.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,Manual,58074,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Avanza,2021,189000000,Manual,40000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,Manual,21542,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Toyota Agya,2021,170390000,Semi-Auto,47300,Petrol/Gasoline/Bensin,1500000,22.0,1.2,Kecil
Daihatsu Ayla,2019,97000000,Manual,5000,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Daihatsu Xenia ,2017,125000000,Manual,52580,Petrol/Gasoline/Bensin,1800000,25.0,1.3,Kecil
Toyota Calya ,2019,136000000,Manual,45000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Yaris G,2014,140000000,Manual,75000,Petrol/Gasoline/Bensin,3250000,25.0,1.5,Kecil
Honda Brio Satya E,2016,110000000,Manual,87540,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2019,125000000,Automatic,45000,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Suzuki Ertiga DX,2012,256600000,Semi-Auto,70000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Daihatsu Xenia ,2015,92000000,Manual,50000,Petrol/Gasoline/Bensin,1500000,22.0,1.0,Kecil
Toyota Kijang Innova,2008,105000000,Manual,150000,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Honda Brio,2014,95000000,Automatic,150000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2016,87000000,Manual,63000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Avanza,2020,152000000,Manual,55949,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Avanza,2016,214000000,Semi-Auto,299762,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Xenia DLX VTTi,2015,109000000,Manual,98000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Honda Jazz GE8,2013,140000000,Automatic,125421,Petrol/Gasoline/Bensin,2000000,22.0,1.5,Kecil
Toyota Fortuner ,2012,220000000,Semi-Auto,98758,Petrol/Gasoline/Bensin,4000000,29.5,2.5,Medium
Honda CRV i-VTEC ,2013,199000000,Manual,90000,Petrol/Gasoline/Bensin,3200000,29.5,2.0,Medium
Daihatsu Xenia VVTI,2017,135000000,Manual,245454,Petrol/Gasoline/Bensin,2450000,25.0,1.3,Kecil
Toyota Calya G,2017,128000000,Manual,94728,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Fortuner G,2011,180000000,Automatic,192452,Diesel/Solar,4890000,29.5,2.4,Medium
Toyota Yaris J,2012,104000000,Manual,89560,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Toyota Innova G,2018,249000000,Manual,48000,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Honda Brio Satya E,2018,110000000,Manual,242252,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Terios TX ADVENTURE,2015,135000000,Manual,120000,Petrol/Gasoline/Bensin,2320000,22.0,1.5,Kecil
Honda Brio E,2023,108600000,Manual,110000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Honda Brio E,2018,120000000,Manual,10000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Toyota Calya E,2016,128000000,Manual,112412,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Honda Brio E,2014,95000000,Manual,10000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Honda Brio Satya E,2018,120000000,Automatic,28000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Toyota Kijang Innova,2007,80000000,Manual,85000,Petrol/Gasoline/Bensin,4000000,29.5,2.5,Medium
Honda CRV Turbo Prestige,2013,230000000,Automatic,117000,Petrol/Gasoline/Bensin,3200000,22.0,1.5,Kecil
Toyota Avanza E,2014,110000000,Manual,112000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Agya G,2018,120000000,Manual,55600,Petrol/Gasoline/Bensin,1725250,22.0,1.2,Kecil
Toyota Yaris E FL,2008,73000000,Automatic,25000,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Toyota Avanza G,2021,207150000,Manual,45730,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Ayla X,2018,138150000,Manual,65000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Avanza G,2011,101500000,Manual,184542,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Xenia XI VVTI,2012,85000000,Manual,150000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Daihatsu Ayla M,2015,89000000,Manual,70000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Agya G,2016,98000000,Automatic,70000,Petrol/Gasoline/Bensin,1371000,20.0,1.0,Kecil
Daihatsu Ayla R,2018,115000000,Manual,70000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Toyota Yaris E  ,2013,125000000,Manual,12000,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Honda Brio E,2018,191900000,Manual,70580,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Toyota Calya E,2018,164700000,Manual,12000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Fortuner G,2008,185000000,Automatic,325421,Petrol/Gasoline/Bensin,4000000,29.5,2.7,Medium
Toyota Kijang Innova V,2011,173000000,Automatic,124560,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Honda Mobilio E,2015,119000000,Automatic,94689,Petrol/Gasoline/Bensin,2867000,22.0,1.2,Kecil
Daihatsu Terios TX ADVENTURE,2012,155000000,Automatic,112456,Petrol/Gasoline/Bensin,2300000,22.0,1.5,Kecil
Toyota Avanza G,2013,108000000,Manual,321546,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Yaris G,2008,70000000,Automatic,428000,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Toyota Calya E,2018,167600000,Manual,85000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Suzuki Ertiga,2013,114999000,Automatic,107000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Honda Brio S ,2018,162500000,Manual,90000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Toyota Avanza E,2013,112000000,Manual,70000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Avanza E,2022,242800000,Manual,57488,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Ayla R,2019,151850000,Manual,40368,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Xenia R,2019,165000000,Manual,138023,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Honda Brio E,2015,110000000,Manual,30491,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Ayla R,2019,98150000,Manual,68000,Petrol/Gasoline/Bensin,2800000,25.0,1.2,Kecil
Daihatsu Xenia DLX VTTi,2015,109000000,Manual,75000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Daihatsu Ayla M,2016,125000000,Manual,79852,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Calya E,2012,110000000,Manual,350000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Yaris J MC,2009,90000000,Manual,152041,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Toyota Avanza G,2012,100000000,Manual,98800,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Avanza Veloz,2014,140000000,Manual,92458,Petrol/Gasoline/Bensin,2899000,25.0,1.5,Kecil
Toyota Calya E,2017,105000000,Manual,10000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Calya E,2016,128000000,Manual,62872,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Daihatsu Ayla M,2016,119000000,Manual,84560,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Honda Brio IVTEC E,2017,125900000,Manual,71000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Nissan Grand Livina SV,2010,75000000,Manual,125481,Petrol/Gasoline/Bensin,2500000,25.0,1.5,Kecil
Daihatsi Ayla R,2018,114000000,Manual,75285,Petrol/Gasoline/Bensin,2000000,29.5,1.2,Kecil
Honda HRV S,2016,200000000,Manual,59625,Petrol/Gasoline/Bensin,2500000,22.0,1.5,Kecil
Toyota Avanza G,2004,50000000,Manual,105000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Ayla X,2013,60000000,Automatic,120500,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Agya G,2015,75000000,Manual,112000,Petrol/Gasoline/Bensin,1371000,20.0,1.0,Kecil
Daihatsu Sigra R,2018,135650000,Manual,75000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Sigra R,2018,135650000,Manual,75000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Datsun GO + PANCA A,2016,68000000,Manual,158000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Sigra M,2018,118800000,Manual,50000,Petrol/Gasoline/Bensin,1371000,28.0,1.0,Kecil
Suzuki Carry STANDAR PU,2012,57000000,Manual,35000,Petrol/Gasoline/Bensin,2500000,25.0,1.5,Kecil
Nissan X Trail ,2011,139000000,Automatic,125000,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Toyota Sienta V,2017,170000000,Manual,108000,Petrol/Gasoline/Bensin,3080000,25.0,1.5,Kecil
Daihatsu Sigra,2018,109900000,Automatic,54960,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Suzuki Carry Futura FD,2013,37000000,Manual,10000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Honda Accord VTi,2007,128000000,Manual,114252,Petrol/Gasoline/Bensin,4000000,29.5,2.4,Medium
Suzuki Carry Futura ST 150,2014,32000000,Manual,102580,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Daihatsu Sigra R DLX ,2023,165800000,Manual,105200,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Sigra ,2018,165800000,Manual,5000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Honda BRV E CVT CKD,2017,165000000,Manual,10000,Petrol/Gasoline/Bensin,2800000,22.0,1.5,Kecil
Suzuki Carry Mega ,2013,40000000,Manual,65000,Diesel/Solar,2800000,25.0,1.5,Kecil
Honda Freed G83 ,2013,135000000,Automatic,258000,Petrol/Gasoline/Bensin,2800000,22.0,1.5,Kecil
Suzuki Carry Futura,2011,40000000,Manual,150000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Suzuki Mega Carry PU AC PS,2019,83500000,Manual,96000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Daiatsu Sigra ,2017,103000000,Manual,65000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Nissan Serena Comfort Touring,2006,67500000,Automatic,345121,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Toyota Vios ,2007,80000000,Manual,350000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Daihatsu Grand Max PS AC PU,2019,121000000,Manual,10000,Petrol/Gasoline/Bensin,2800000,22.0,1.5,Kecil
Mitsubishi Colt L 300 ,2019,188000000,Manual,75000,Diesel/Solar,3899000,29.5,2.5,Medium
Mitsubishi T120SS 3-WAY WIDE DECK,2019,109000000,Manual,75421,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Mitsubishi T120SS T ,2013,109000000,Manual,150000,Diesel/Solar,2800000,25.0,1.5,Kecil
Nissan March,2017,185800000,Manual,27469,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Honda Brio,2020,165900000,Manual,12340,Petrol/Gasoline/Bensin,2000000,28.0,1.4,Kecil
Honda Jazz,2017,255000000,Automatic,37999,Petrol/Gasoline/Bensin,2000000,22.0,1.5,Kecil
Daihatsu Xenia,2015,218500000,Manual,25499,Petrol/Gasoline/Bensin,1500000,22.0,1.0,Kecil
Daihatsu Gran Max,2022,169000000,Manual,50584,Petrol/Gasoline/Bensin,3200000,22.0,1.5,Kecil
Suzuki Carry Futura,2016,150000000,Manual,18389,Petrol/Gasoline/Bensin,2000000,23.0,1.3,Kecil
Daihatsu Gran Max,2018,225000000,Manual,28321,Petrol/Gasoline/Bensin,3200000,22.0,1.5,Kecil
Toyota Avanza,2018,235000000,Automatic,14000,Petrol/Gasoline/Bensin,3200000,23.0,1.3,Kecil
Mitsubishi L300,2022,224000000,Manual,21000,Diesel/Solar,3200000,22.0,1.5,Kecil
Daihatsu Grand Max Delvan,2018,148000000,Manual,20219,Petrol/Gasoline/Bensin,2000000,25.0,1.3,Kecil
Toyota Hilux Single Cap,2017,208800000,Manual,10089,Petrol/Gasoline/Bensin,3800000,29.5,2.0,Medium
